country,name,longName,foundingDate,population,capital,largestCity,area
14,Abkhazia,Republic of Abkhazia,6/20/1990,242862,Sukhumi,,8660.968660968661km
15,Abkhazia,Republic of Abkhazia,8/25/1990,242862,Sukhumi,,8660.968660968661km
16,Abkhazia,Republic of Abkhazia,8/26/2008,242862,Sukhumi,,8660.968660968661km
17,Abyei,Abyei Area,1/9/2005,,Abyei (town),,10546.490546490546km
18,Abyei,Abyei Area,8/31/2008,,Abyei (town),,10546.490546490546km
31,Adélie Land,Adélie Land,,,,,432000km
36,Adjara,Autonomous Republic of Ajara,,393700,Batumi,,2900.8029008029007km
38,Aerica,Aerican Empire,5/8/1987,,Montreal,,9000000km
41,Afghanistan,Islamic Republic of Afghanistan,8/19/1919,32564342,Kabul,Kabul,652232.5822325823km
42,Afghanistan,font-size:88%;,8/19/1919,32564342,Kabul,Kabul,652232.5822325823km
44,,,6/3/1991,1053136000,,Nigeria,29865860km
45,,,6/3/1991,1053136000,,Lagos,29865860km
63,Akrotiri and Dhekelia,Sovereign Base Areas,,7700,Episkopi Cantonment,,253.8202538202538km
64,Akrotiri and Dhekelia,of,,7700,Episkopi Cantonment,,253.8202538202538km
65,Akrotiri and Dhekelia,Akrotiri and Dhekelia,,7700,Episkopi Cantonment,,253.8202538202538km
68,Åland,Åland Islands,5/7/1920,28666,Mariehamn,,1579.90157990158km
73,,Republic of Albania,4/7/1939,2893005,Tirana,Tirana,28749.02874902875km
74,,Republic of Albania,11/29/1941,2893005,Tirana,Tirana,28749.02874902875km
82,Alderney,Alderney,,2013,"Saint Anne, Alderney",,7.77000777000777km
84,,People's Democratic Republic of Algeria,7/3/1962,40400000,Algiers,,2381753.431753432km
85,,People's Democratic Republic of Algeria,7/5/1962,40400000,Algiers,,2381753.431753432km
106,American Samoa,Territory of American Samoa,1889-06-14,54343,Pago Pago,,198.989898989899km
107,American Samoa,Territory of American Samoa,1899-12-02,54343,Pago Pago,,198.989898989899km
116,,Principality of Andorra,,85470,Andorra la Vella,,467.62496762496767km
124,,Republic of Angola,11/11/1975,,Luanda,,1246708.1067081068km
125,Anguilla,Anguilla,,13600,"The Valley, Anguilla",,91km
131,Anjouan,Autonomous Island of Anjouan,,277500,Mutsamudu,,422.17042217042217km
134,,Antigua and Barbuda,2/27/1967,91295,"St. John's, Antigua and Barbuda",,440.3004403004403km
135,,Antigua and Barbuda,11/1/1981,91295,"St. John's, Antigua and Barbuda",,440.3004403004403km
143,,League of Arab States,3/22/1945,423000000,,,13132400.932400933km
158,Argentina,Argentine Republic,1810-05-25,43417000,Buenos Aires,,2780400km
159,Argentina,Argentine Republic,1816-07-09,43417000,Buenos Aires,,2780400km
163,Armenia,Republic of Armenia,,,Yerevan,,29743.589743589742km
175,Aruba,Aruba,3/18/1986,103400,"Oranjestad, Aruba",,178.91737891737893km
176,Ascension Island,Ascension Island,9/12/1922,880,"Georgetown, Ascension Island",,88km
180,Ashantiland,(Asanteman),,11700000,Kumasi,Kumasi,120761km
181,Ashantiland,Ashantiland,,11700000,Kumasi,Kumasi,120761km
182,Ashantiland,(Kingdom of Ashanti),,11700000,Kumasi,Kumasi,120761km
185,,,8/8/1967,625000000,,,4435643.615643616km
186,,,12/16/2008,625000000,,,4435643.615643616km
203,Austenasia,Empire of Austenasia,9/20/2008,,Carshalton,,0.2327km
