country,name,longName,foundingDate,population,capital,largestCity,area
1,Cyprus,,7/15/1974,,Nicosia,,
2,Mindanao,,10/4/1990,,,,
3,Greece,,8/4/1936,,Athens,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,Abbasids,,,,Abbasid Samarra,,
8,Abbasids,,,,Al-Raqqah,,
9,Abbasids,,,,Baghdad,,
10,Abbasids,,,,Cairo,,
11,Abbasids,,,,Kufa,,
12,,,,,St. Gallen,,
13,"Saint Peter's Abbey, Black Forest",,,,"Sankt Peter, Baden-Württemberg",,
14,Abkhazia,Republic of Abkhazia,6/20/1990,242862,Sukhumi,,3344mi
15,Abkhazia,Republic of Abkhazia,8/25/1990,242862,Sukhumi,,3344mi
16,Abkhazia,Republic of Abkhazia,8/26/2008,242862,Sukhumi,,3344mi
17,Abyei,Abyei Area,1/9/2005,,Abyei (town),,4072mi
18,Abyei,Abyei Area,8/31/2008,,Abyei (town),,4072mi
19,Aceh,,,,Banda Aceh,,
20,Achaean League,,,,Aigio,,
21,Persia,,,,Ecbatana,,
22,Persia,,,,Susa,,
23,Persia,,,,Babylon,,
24,Persia,,,,Pasargadae,,
25,Persia,,,,Persepolis,,
26,Achaemenid Macedon,,,,Vergina,,
27,Adal,,,,Dakkar,,
28,Adal,,,,Harar,,
29,Adal,,,,Asaita,,
30,Adamawa,,,,"Yola, Nigeria",,
31,Adélie Land,Adélie Land,,,,,432000km
32,Aden,,,,,,
33,Adiabene,,,,Erbil,,
34,Bijapur Adil,,,,"Bijapur district, Karnataka",,
35,Adjar ASSR,,,,,,
36,Adjara,Autonomous Republic of Ajara,,393700,Batumi,,1120mi
37,,,,,,,
38,Aerica,Aerican Empire,5/8/1987,,Montreal,,9000000km
39,Afghan Interim Authority,,12/22/2001,,Kabul,,
40,Afghan Transitional Authority,,7/13/2002,,Kabul,,
41,Afghanistan,Islamic Republic of Afghanistan,8/19/1919,32564342,Kabul,Kabul,251827mi
42,Afghanistan,font-size:88%;,8/19/1919,32564342,Kabul,Kabul,251827mi
43,,African Free Trade Zone (AFTZ),,,,,
44,,,6/3/1991,1053136000,,Nigeria,29865860km
45,,,6/3/1991,1053136000,,Lagos,29865860km
46,Khwarmezm,,,,,,
47,Persia,,1736-01-22,,Mashhad,,
48,Ağ Qoyunlu,,,,Tabriz,,
49,Ağ Qoyunlu,,,,Diyarbakır,,
50,Aghlabid,,,,,,
51,Ah Canul,,,,Calkiní,,
52,Ah Kin Chel,,,,Tecoh Municipality,,
53,Qutb Shahi,,,,Ahmadnagar,,
54,Ahom kingdom or Kingdom of Assam,,,,Charaideo,,
55,Ahom kingdom or Kingdom of Assam,,,,Jorhat,,
56,Ahom kingdom or Kingdom of Assam,,,,Rangpur (Ahom capital),,
57,Ahom kingdom or Kingdom of Assam,,,,Garhgaon,,
58,Ajuran Sultanate,,,,Merca,,
59,Ajuran Sultanate,,,,Mareeg,,
60,Ajuran Sultanate,,,,Kelafo,,
61,,Akhzivland,,3,,,
62,Akkad,,,,Akkad (city),,
63,Akrotiri and Dhekelia,Sovereign Base Areas,,7700,Episkopi Cantonment,,98mi
64,Akrotiri and Dhekelia,of,,7700,Episkopi Cantonment,,98mi
65,Akrotiri and Dhekelia,Akrotiri and Dhekelia,,7700,Episkopi Cantonment,,98mi
66,Alaiye,,,,Alanya,,
67,Alamannia,,,,,,
68,Åland,Åland Islands,5/7/1920,28666,Mariehamn,,610mi
69,Alania,,,,Maghas,,
70,Alash,,12/13/1917,,Semey,,
71,Alash Orda,,12/13/1917,,Semey,,
72,Alawite,,9/2/1920,,Latakia,,
73,,Republic of Albania,4/7/1939,2893005,Tirana,Tirana,11100mi
74,,Republic of Albania,11/29/1941,2893005,Tirana,Tirana,11100mi
75,Albania,,,,"Barda, Azerbaijan",,
76,Albania,,,,Qabala,,
77,Albania,,9/1/1928,,Tirana,,
78,Albania,,4/7/1939,,Tirana,,
79,Albania,,9/8/1943,,Tirana,,
80,Albania,,1/31/1925,,Tirana,,
81,Albona,,3/2/1921,,Labin,,
82,Alderney,Alderney,,2013,"Saint Anne, Alderney",,3mi
83,Alempois,,,,,,
84,,People's Democratic Republic of Algeria,7/3/1962,40400000,Algiers,,919595mi
